datetime,code,name,open,close,high,low,volume,amount,pct_chg,amplitude
2026-06-10 09:30:00,sz000949,新乡化纤,6.4,6.4,6.4,6.4,612,391680,-1.84,0.0
2026-06-10 09:31:00,sz000949,新乡化纤,6.35,6.5,6.52,6.35,5230,3379924,1.56,2.66
2026-06-10 09:32:00,sz000949,新乡化纤,6.49,6.56,6.58,6.49,7538,4935789,0.92,1.38
2026-06-10 09:33:00,sz000949,新乡化纤,6.55,6.55,6.56,6.53,4478,2932533,-0.15,0.46
2026-06-10 09:34:00,sz000949,新乡化纤,6.56,6.57,6.58,6.54,6001,3939286,0.31,0.61
2026-06-10 09:35:00,sz000949,新乡化纤,6.57,6.55,6.57,6.53,2228,1459012,-0.3,0.61
2026-06-10 09:36:00,sz000949,新乡化纤,6.56,6.56,6.57,6.55,1955,1282879,0.15,0.31
2026-06-10 09:37:00,sz000949,新乡化纤,6.57,6.55,6.57,6.54,2342,1535419,-0.15,0.46
2026-06-10 09:38:00,sz000949,新乡化纤,6.56,6.56,6.57,6.55,5817,3815655,0.15,0.31
2026-06-10 09:39:00,sz000949,新乡化纤,6.57,6.57,6.57,6.55,2113,1386123,0.15,0.3
2026-06-10 09:40:00,sz000949,新乡化纤,6.57,6.54,6.57,6.54,1873,1226738,-0.46,0.46
2026-06-10 09:41:00,sz000949,新乡化纤,6.55,6.53,6.55,6.52,1810,1181896,-0.15,0.46
2026-06-10 09:42:00,sz000949,新乡化纤,6.54,6.49,6.54,6.49,2977,1940716,-0.61,0.77
2026-06-10 09:43:00,sz000949,新乡化纤,6.5,6.5,6.51,6.49,1569,1019242,0.15,0.31
2026-06-10 09:44:00,sz000949,新乡化纤,6.5,6.48,6.5,6.47,4412,2863260,-0.31,0.46
2026-06-10 09:45:00,sz000949,新乡化纤,6.48,6.46,6.48,6.46,1378,891712,-0.31,0.31
2026-06-10 09:46:00,sz000949,新乡化纤,6.46,6.47,6.48,6.45,2784,1799123,0.15,0.46
2026-06-10 09:47:00,sz000949,新乡化纤,6.48,6.47,6.48,6.46,2252,1457267,0.0,0.31
2026-06-10 09:48:00,sz000949,新乡化纤,6.46,6.48,6.48,6.46,809,524010,0.15,0.31
2026-06-10 09:49:00,sz000949,新乡化纤,6.49,6.46,6.49,6.46,1419,918226,-0.31,0.46
2026-06-10 09:50:00,sz000949,新乡化纤,6.46,6.48,6.48,6.46,360,232906,0.31,0.31
2026-06-10 09:51:00,sz000949,新乡化纤,6.48,6.46,6.48,6.46,1991,1288420,-0.31,0.31
2026-06-10 09:52:00,sz000949,新乡化纤,6.46,6.46,6.47,6.44,3529,2278170,0.0,0.46
2026-06-10 09:53:00,sz000949,新乡化纤,6.47,6.48,6.48,6.46,1973,1276967,0.31,0.31
2026-06-10 09:54:00,sz000949,新乡化纤,6.48,6.51,6.51,6.48,1925,1248665,0.46,0.46
2026-06-10 09:55:00,sz000949,新乡化纤,6.51,6.5,6.51,6.49,503,326933,-0.15,0.31
2026-06-10 09:56:00,sz000949,新乡化纤,6.5,6.53,6.53,6.5,898,584830,0.46,0.46
2026-06-10 09:57:00,sz000949,新乡化纤,6.52,6.52,6.54,6.52,756,493665,-0.15,0.31
2026-06-10 09:58:00,sz000949,新乡化纤,6.53,6.53,6.54,6.51,1662,1084032,0.15,0.46
2026-06-10 09:59:00,sz000949,新乡化纤,6.53,6.52,6.53,6.51,689,449093,-0.15,0.31
2026-06-10 10:00:00,sz000949,新乡化纤,6.52,6.53,6.54,6.5,2391,1560006,0.15,0.61
2026-06-10 10:01:00,sz000949,新乡化纤,6.52,6.52,6.53,6.5,2925,1903237,-0.15,0.46
2026-06-10 10:02:00,sz000949,新乡化纤,6.51,6.49,6.52,6.49,888,577724,-0.46,0.46
2026-06-10 10:03:00,sz000949,新乡化纤,6.5,6.49,6.52,6.49,1617,1050919,0.0,0.46
2026-06-10 10:04:00,sz000949,新乡化纤,6.49,6.5,6.51,6.49,494,321197,0.15,0.31
2026-06-10 10:05:00,sz000949,新乡化纤,6.5,6.48,6.51,6.48,2501,1622043,-0.31,0.46
2026-06-10 10:06:00,sz000949,新乡化纤,6.48,6.47,6.48,6.47,333,215560,-0.15,0.15
2026-06-10 10:07:00,sz000949,新乡化纤,6.48,6.48,6.48,6.47,1739,1126332,0.15,0.15
2026-06-10 10:08:00,sz000949,新乡化纤,6.47,6.46,6.48,6.46,1431,925704,-0.31,0.31
2026-06-10 10:09:00,sz000949,新乡化纤,6.46,6.47,6.47,6.46,1548,999918,0.15,0.15
2026-06-10 10:10:00,sz000949,新乡化纤,6.47,6.47,6.47,6.46,1144,739347,0.0,0.15
2026-06-10 10:11:00,sz000949,新乡化纤,6.46,6.48,6.48,6.45,2270,1467204,0.15,0.46
2026-06-10 10:12:00,sz000949,新乡化纤,6.46,6.49,6.5,6.46,1019,659790,0.15,0.62
2026-06-10 10:13:00,sz000949,新乡化纤,6.5,6.48,6.5,6.48,1469,952974,-0.15,0.31
2026-06-10 10:14:00,sz000949,新乡化纤,6.49,6.5,6.5,6.48,1589,1031982,0.31,0.31
2026-06-10 10:15:00,sz000949,新乡化纤,6.5,6.48,6.51,6.48,2021,1310898,-0.31,0.46
2026-06-10 10:16:00,sz000949,新乡化纤,6.48,6.48,6.49,6.48,217,140634,0.0,0.15
2026-06-10 10:17:00,sz000949,新乡化纤,6.47,6.47,6.47,6.46,749,484436,-0.15,0.15
2026-06-10 10:18:00,sz000949,新乡化纤,6.47,6.45,6.47,6.45,2213,1428409,-0.31,0.31
2026-06-10 10:19:00,sz000949,新乡化纤,6.46,6.46,6.46,6.46,471,304256,0.16,0.0
2026-06-10 10:20:00,sz000949,新乡化纤,6.46,6.46,6.47,6.45,307,198213,0.0,0.31
2026-06-10 10:21:00,sz000949,新乡化纤,6.46,6.45,6.46,6.44,2927,1887476,-0.15,0.31
2026-06-10 10:22:00,sz000949,新乡化纤,6.45,6.45,6.46,6.45,1251,807309,0.0,0.16
2026-06-10 10:23:00,sz000949,新乡化纤,6.46,6.47,6.47,6.45,579,374070,0.31,0.31
2026-06-10 10:24:00,sz000949,新乡化纤,6.47,6.47,6.48,6.46,1132,732273,0.0,0.31
2026-06-10 10:25:00,sz000949,新乡化纤,6.47,6.47,6.47,6.46,396,255989,0.0,0.15
2026-06-10 10:26:00,sz000949,新乡化纤,6.47,6.47,6.47,6.46,743,480199,0.0,0.15
2026-06-10 10:27:00,sz000949,新乡化纤,6.46,6.47,6.47,6.46,113,73037,0.0,0.15
2026-06-10 10:28:00,sz000949,新乡化纤,6.46,6.46,6.47,6.46,346,223529,-0.15,0.15
2026-06-10 10:29:00,sz000949,新乡化纤,6.45,6.45,6.46,6.44,1325,854389,-0.15,0.31
2026-06-10 10:30:00,sz000949,新乡化纤,6.44,6.43,6.44,6.43,693,446203,-0.31,0.16
2026-06-10 10:31:00,sz000949,新乡化纤,6.43,6.44,6.44,6.43,989,636706,0.16,0.16
2026-06-10 10:32:00,sz000949,新乡化纤,6.44,6.44,6.44,6.43,300,193154,0.0,0.16
2026-06-10 10:33:00,sz000949,新乡化纤,6.44,6.43,6.45,6.42,1117,718392,-0.16,0.47
2026-06-10 10:34:00,sz000949,新乡化纤,6.42,6.43,6.43,6.42,480,308209,0.0,0.16
2026-06-10 10:35:00,sz000949,新乡化纤,6.42,6.42,6.43,6.41,1379,884893,-0.16,0.31
2026-06-10 10:36:00,sz000949,新乡化纤,6.42,6.42,6.42,6.42,744,477501,0.0,0.0
2026-06-10 10:37:00,sz000949,新乡化纤,6.41,6.42,6.42,6.41,1227,786779,0.0,0.16
2026-06-10 10:38:00,sz000949,新乡化纤,6.42,6.4,6.42,6.4,910,583587,-0.31,0.31
2026-06-10 10:39:00,sz000949,新乡化纤,6.4,6.41,6.41,6.4,187,119720,0.16,0.16
2026-06-10 10:40:00,sz000949,新乡化纤,6.4,6.39,6.4,6.38,5224,3340495,-0.31,0.31
2026-06-10 10:41:00,sz000949,新乡化纤,6.39,6.38,6.39,6.38,706,450483,-0.16,0.16
2026-06-10 10:42:00,sz000949,新乡化纤,6.38,6.39,6.39,6.38,811,517863,0.16,0.16
2026-06-10 10:43:00,sz000949,新乡化纤,6.39,6.4,6.41,6.39,1162,744357,0.16,0.31
2026-06-10 10:44:00,sz000949,新乡化纤,6.41,6.41,6.42,6.4,438,280737,0.16,0.31
2026-06-10 10:45:00,sz000949,新乡化纤,6.41,6.4,6.41,6.4,645,413134,-0.16,0.16
2026-06-10 10:46:00,sz000949,新乡化纤,6.4,6.41,6.41,6.4,130,83255,0.16,0.16
2026-06-10 10:47:00,sz000949,新乡化纤,6.41,6.42,6.43,6.41,1556,998218,0.16,0.31
2026-06-10 10:48:00,sz000949,新乡化纤,6.41,6.41,6.42,6.41,438,280784,-0.16,0.16
2026-06-10 10:49:00,sz000949,新乡化纤,6.41,6.42,6.42,6.4,1487,952250,0.16,0.31
2026-06-10 10:50:00,sz000949,新乡化纤,6.41,6.41,6.41,6.41,392,251276,-0.16,0.0
2026-06-10 10:51:00,sz000949,新乡化纤,6.41,6.42,6.42,6.41,268,171853,0.16,0.16
2026-06-10 10:52:00,sz000949,新乡化纤,6.42,6.43,6.43,6.42,462,296800,0.16,0.16
2026-06-10 10:53:00,sz000949,新乡化纤,6.42,6.42,6.43,6.42,315,202265,-0.16,0.16
