datetime,code,name,open,close,high,low,volume,amount,pct_chg,amplitude
2026-06-22 09:30:00,sz002897,意华股份,101.6,101.6,101.6,101.6,4789,48656240,4.96,0.0
2026-06-22 09:31:00,sz002897,意华股份,101.76,100.0,103.59,100.0,13317,135847904,-1.57,3.53
2026-06-22 09:32:00,sz002897,意华股份,99.59,102.3,102.3,98.0,9990,99670456,2.3,4.3
2026-06-22 09:33:00,sz002897,意华股份,102.54,100.51,102.54,100.33,8291,84276040,-1.75,2.16
2026-06-22 09:34:00,sz002897,意华股份,100.12,99.58,100.59,99.58,2831,28379154,-0.93,1.0
2026-06-22 09:35:00,sz002897,意华股份,99.6,99.42,99.6,98.92,3548,35193904,-0.16,0.68
2026-06-22 09:36:00,sz002897,意华股份,99.66,98.0,99.66,98.0,2390,23599944,-1.43,1.67
2026-06-22 09:37:00,sz002897,意华股份,98.08,98.19,98.9,97.9,3319,32648786,0.19,1.02
2026-06-22 09:38:00,sz002897,意华股份,98.22,97.22,98.22,97.0,4768,46409660,-0.99,1.24
2026-06-22 09:39:00,sz002897,意华股份,97.0,97.41,97.41,95.98,3993,38554100,0.2,1.47
2026-06-22 09:40:00,sz002897,意华股份,97.56,98.91,99.47,97.56,2978,29425432,1.54,1.96
2026-06-22 09:41:00,sz002897,意华股份,98.8,98.8,99.19,98.77,2888,28576324,-0.11,0.42
2026-06-22 09:42:00,sz002897,意华股份,98.77,98.7,99.08,98.39,1746,17244164,-0.1,0.7
2026-06-22 09:43:00,sz002897,意华股份,98.64,99.14,99.36,98.64,1861,18435316,0.45,0.73
2026-06-22 09:44:00,sz002897,意华股份,99.0,98.4,99.14,98.36,1760,17359136,-0.75,0.79
2026-06-22 09:45:00,sz002897,意华股份,98.55,98.81,98.99,98.55,1438,14205133,0.42,0.45
2026-06-22 09:46:00,sz002897,意华股份,98.81,98.61,99.08,98.61,1487,14706381,-0.2,0.48
2026-06-22 09:47:00,sz002897,意华股份,98.6,98.59,98.6,98.2,1992,19600806,-0.02,0.41
2026-06-22 09:48:00,sz002897,意华股份,98.59,99.22,99.22,98.55,1629,16096404,0.64,0.68
2026-06-22 09:49:00,sz002897,意华股份,99.16,98.88,99.22,98.8,1079,10680111,-0.34,0.42
2026-06-22 09:50:00,sz002897,意华股份,98.86,99.18,99.2,98.84,1182,11700810,0.3,0.36
2026-06-22 09:51:00,sz002897,意华股份,99.2,99.12,99.2,98.87,1948,19279376,-0.06,0.33
2026-06-22 09:52:00,sz002897,意华股份,99.12,99.2,99.2,98.93,667,6603067,0.08,0.27
2026-06-22 09:53:00,sz002897,意华股份,99.07,99.55,99.56,98.92,1250,12394181,0.35,0.65
2026-06-22 09:54:00,sz002897,意华股份,99.56,98.66,99.57,98.66,1239,12287615,-0.89,0.91
2026-06-22 09:55:00,sz002897,意华股份,98.85,99.13,99.13,98.65,1574,15549860,0.48,0.49
2026-06-22 09:56:00,sz002897,意华股份,98.98,99.15,99.35,98.98,1054,10448421,0.02,0.37
2026-06-22 09:57:00,sz002897,意华股份,99.16,99.16,99.26,99.0,865,8571002,0.01,0.26
2026-06-22 09:58:00,sz002897,意华股份,99.16,99.01,99.21,99.01,715,7089028,-0.15,0.2
2026-06-22 09:59:00,sz002897,意华股份,98.98,99.49,99.49,98.98,1043,10346198,0.48,0.52
2026-06-22 10:00:00,sz002897,意华股份,99.46,99.37,99.46,99.02,921,9140598,-0.12,0.44
2026-06-22 10:01:00,sz002897,意华股份,99.35,99.41,99.66,99.28,1537,15283714,0.04,0.38
2026-06-22 10:02:00,sz002897,意华股份,99.35,99.51,99.65,99.2,1557,15474341,0.1,0.45
2026-06-22 10:03:00,sz002897,意华股份,99.49,99.04,99.49,99.04,947,9408597,-0.47,0.45
2026-06-22 10:04:00,sz002897,意华股份,99.04,99.0,99.04,98.81,924,9139328,-0.04,0.23
2026-06-22 10:05:00,sz002897,意华股份,98.88,98.31,99.0,98.31,1784,17598934,-0.7,0.7
2026-06-22 10:06:00,sz002897,意华股份,98.39,98.83,98.83,98.39,3038,29910702,0.53,0.45
2026-06-22 10:07:00,sz002897,意华股份,98.64,98.28,98.7,98.01,2726,26804624,-0.56,0.7
2026-06-22 10:08:00,sz002897,意华股份,98.16,98.54,98.82,98.16,1553,15302056,0.26,0.67
2026-06-22 10:09:00,sz002897,意华股份,98.43,98.03,98.43,98.03,1406,13811607,-0.52,0.41
2026-06-22 10:10:00,sz002897,意华股份,98.03,98.24,98.37,97.88,1164,11406737,0.21,0.5
2026-06-22 10:11:00,sz002897,意华股份,98.08,98.24,98.34,98.0,1390,13637528,0.0,0.35
2026-06-22 10:12:00,sz002897,意华股份,98.3,98.28,98.5,98.23,678,6666634,0.04,0.27
2026-06-22 10:13:00,sz002897,意华股份,98.27,97.9,98.27,97.9,779,7642344,-0.39,0.38
2026-06-22 10:14:00,sz002897,意华股份,97.9,97.15,97.9,97.15,2295,22346974,-0.77,0.77
2026-06-22 10:15:00,sz002897,意华股份,97.38,96.68,97.49,96.58,2294,22248336,-0.48,0.94
2026-06-22 10:16:00,sz002897,意华股份,96.68,96.29,97.01,96.29,2048,19810060,-0.4,0.74
2026-06-22 10:17:00,sz002897,意华股份,96.38,96.46,96.58,96.19,1132,10906296,0.18,0.41
