datetime,code,name,open,close,high,low,volume,amount,pct_chg,amplitude
2026-06-26 09:30:00,sh603955,大千生态,20.87,20.87,20.87,20.87,75,156525,-1.09,0.0
2026-06-26 09:31:00,sh603955,大千生态,20.87,20.83,20.98,20.72,279,581926,-0.19,1.25
2026-06-26 09:32:00,sh603955,大千生态,20.83,20.77,20.99,20.77,235,489592,-0.29,1.06
2026-06-26 09:33:00,sh603955,大千生态,20.82,20.7,20.82,20.7,155,321806,-0.34,0.58
2026-06-26 09:34:00,sh603955,大千生态,20.7,20.61,20.7,20.61,160,330516,-0.43,0.43
2026-06-26 09:35:00,sh603955,大千生态,20.62,20.46,20.63,20.45,656,1345801,-0.73,0.87
2026-06-26 09:36:00,sh603955,大千生态,20.5,20.41,20.54,20.41,206,421814,-0.24,0.64
2026-06-26 09:37:00,sh603955,大千生态,20.4,20.35,20.4,20.35,347,707717,-0.29,0.24
2026-06-26 09:38:00,sh603955,大千生态,20.38,20.45,20.46,20.38,201,410944,0.49,0.39
2026-06-26 09:39:00,sh603955,大千生态,20.45,20.35,20.45,20.35,425,866631,-0.49,0.49
2026-06-26 09:40:00,sh603955,大千生态,20.35,20.4,20.46,20.35,133,271658,0.25,0.54
2026-06-26 09:41:00,sh603955,大千生态,20.45,20.31,20.45,20.31,306,623216,-0.44,0.69
2026-06-26 09:42:00,sh603955,大千生态,20.31,20.28,20.38,20.28,366,743501,-0.15,0.49
2026-06-26 09:43:00,sh603955,大千生态,20.26,20.3,20.3,20.15,331,668977,0.1,0.74
2026-06-26 09:44:00,sh603955,大千生态,20.26,20.31,20.32,20.22,151,306233,0.05,0.49
2026-06-26 09:45:00,sh603955,大千生态,20.31,20.26,20.31,20.25,149,302009,-0.25,0.3
2026-06-26 09:46:00,sh603955,大千生态,20.26,20.17,20.26,20.16,333,673113,-0.44,0.49
2026-06-26 09:47:00,sh603955,大千生态,20.18,20.18,20.22,20.17,247,498533,0.05,0.25
2026-06-26 09:48:00,sh603955,大千生态,20.2,20.26,20.26,20.2,24,48551,0.4,0.3
2026-06-26 09:49:00,sh603955,大千生态,20.3,20.3,20.31,20.27,149,302231,0.2,0.2
2026-06-26 09:50:00,sh603955,大千生态,20.3,20.26,20.31,20.26,126,255493,-0.2,0.25
2026-06-26 09:51:00,sh603955,大千生态,20.24,20.26,20.26,20.21,1060,2143556,0.0,0.25
2026-06-26 09:52:00,sh603955,大千生态,20.3,20.26,20.3,20.26,17,34490,0.0,0.2
2026-06-26 09:53:00,sh603955,大千生态,20.3,20.25,20.3,20.25,82,166127,-0.05,0.25
2026-06-26 09:54:00,sh603955,大千生态,20.25,20.18,20.25,20.18,131,264704,-0.35,0.35
2026-06-26 09:55:00,sh603955,大千生态,20.16,20.18,20.18,20.16,108,217955,0.0,0.1
2026-06-26 09:56:00,sh603955,大千生态,20.18,20.09,20.19,20.09,560,1127858,-0.45,0.5
2026-06-26 09:57:00,sh603955,大千生态,20.09,20.0,20.09,20.0,442,885190,-0.45,0.45
2026-06-26 09:58:00,sh603955,大千生态,20.01,19.98,20.01,19.98,418,836040,-0.1,0.15
2026-06-26 09:59:00,sh603955,大千生态,20.0,19.93,20.0,19.91,139,277223,-0.25,0.45
2026-06-26 10:00:00,sh603955,大千生态,19.93,19.91,19.93,19.9,93,185223,-0.1,0.15
2026-06-26 10:01:00,sh603955,大千生态,19.93,19.88,19.93,19.85,487,968229,-0.15,0.4
2026-06-26 10:02:00,sh603955,大千生态,19.88,19.84,19.88,19.83,277,549989,-0.2,0.25
2026-06-26 10:03:00,sh603955,大千生态,19.84,19.86,19.86,19.82,240,476067,0.1,0.2
2026-06-26 10:04:00,sh603955,大千生态,19.88,19.98,19.98,19.88,64,127513,0.6,0.5
2026-06-26 10:05:00,sh603955,大千生态,19.99,19.96,19.99,19.96,126,251722,-0.1,0.15
2026-06-26 10:06:00,sh603955,大千生态,19.94,20.05,20.05,19.91,300,598531,0.45,0.7
2026-06-26 10:07:00,sh603955,大千生态,20.01,20.04,20.05,20.01,150,300587,-0.05,0.2
2026-06-26 10:08:00,sh603955,大千生态,20.03,19.98,20.03,19.98,58,116033,-0.3,0.25
2026-06-26 10:09:00,sh603955,大千生态,19.99,19.96,19.99,19.95,25,49906,-0.1,0.2
2026-06-26 10:10:00,sh603955,大千生态,20.01,19.99,20.01,19.99,179,358029,0.15,0.1
2026-06-26 10:11:00,sh603955,大千生态,19.99,20.06,20.1,19.99,148,296462,0.35,0.55
2026-06-26 10:12:00,sh603955,大千生态,20.05,20.03,20.05,20.03,32,64152,-0.15,0.1
2026-06-26 10:13:00,sh603955,大千生态,20.0,20.03,20.03,20.0,40,80050,0.0,0.15
2026-06-26 10:14:00,sh603955,大千生态,20.04,20.03,20.04,20.03,31,62094,0.0,0.05
2026-06-26 10:15:00,sh603955,大千生态,20.03,20.01,20.03,20.01,10,20016,-0.1,0.1
