datetime,code,name,open,close,high,low,volume,amount,pct_chg,amplitude
2026-06-12 09:30:00,sz002041,登海种业,8.18,8.18,8.18,8.18,562,459716,0.0,0.0
2026-06-12 09:31:00,sz002041,登海种业,8.19,8.14,8.2,8.13,1876,1532558,-0.49,0.86
2026-06-12 09:32:00,sz002041,登海种业,8.14,8.17,8.18,8.13,693,564879,0.37,0.61
2026-06-12 09:33:00,sz002041,登海种业,8.17,8.2,8.2,8.16,719,587960,0.37,0.49
2026-06-12 09:34:00,sz002041,登海种业,8.21,8.2,8.22,8.19,1777,1457622,0.0,0.37
2026-06-12 09:35:00,sz002041,登海种业,8.2,8.18,8.2,8.17,841,688362,-0.24,0.37
2026-06-12 09:36:00,sz002041,登海种业,8.19,8.18,8.2,8.17,727,594926,0.0,0.37
2026-06-12 09:37:00,sz002041,登海种业,8.17,8.19,8.2,8.17,467,382319,0.12,0.37
2026-06-12 09:38:00,sz002041,登海种业,8.2,8.17,8.2,8.16,1360,1111692,-0.24,0.49
2026-06-12 09:39:00,sz002041,登海种业,8.17,8.17,8.17,8.15,348,284116,0.0,0.24
2026-06-12 09:40:00,sz002041,登海种业,8.16,8.18,8.18,8.14,1172,956037,0.12,0.49
2026-06-12 09:41:00,sz002041,登海种业,8.16,8.17,8.17,8.15,550,448989,-0.12,0.24
2026-06-12 09:42:00,sz002041,登海种业,8.17,8.19,8.19,8.17,714,583682,0.24,0.24
2026-06-12 09:43:00,sz002041,登海种业,8.19,8.19,8.19,8.18,1318,1078835,0.0,0.12
2026-06-12 09:44:00,sz002041,登海种业,8.19,8.27,8.27,8.19,4629,3809452,0.98,0.98
2026-06-12 09:45:00,sz002041,登海种业,8.26,8.25,8.27,8.25,1033,853316,-0.24,0.24
2026-06-12 09:46:00,sz002041,登海种业,8.25,8.26,8.28,8.24,3793,3134554,0.12,0.48
2026-06-12 09:47:00,sz002041,登海种业,8.28,8.32,8.32,8.28,3774,3131010,0.73,0.48
2026-06-12 09:48:00,sz002041,登海种业,8.31,8.3,8.32,8.29,1927,1599972,-0.24,0.36
2026-06-12 09:49:00,sz002041,登海种业,8.3,8.33,8.35,8.29,2959,2464099,0.36,0.72
2026-06-12 09:50:00,sz002041,登海种业,8.33,8.33,8.34,8.31,2203,1834358,0.0,0.36
2026-06-12 09:51:00,sz002041,登海种业,8.33,8.32,8.34,8.31,2094,1742690,-0.12,0.36
2026-06-12 09:52:00,sz002041,登海种业,8.33,8.33,8.34,8.32,687,572201,0.12,0.24
2026-06-12 09:53:00,sz002041,登海种业,8.32,8.37,8.37,8.32,3207,2676577,0.48,0.6
2026-06-12 09:54:00,sz002041,登海种业,8.37,8.32,8.37,8.32,1295,1081418,-0.6,0.6
2026-06-12 09:55:00,sz002041,登海种业,8.32,8.32,8.33,8.32,191,158949,0.0,0.12
2026-06-12 09:56:00,sz002041,登海种业,8.33,8.33,8.33,8.32,585,487125,0.12,0.12
2026-06-12 09:57:00,sz002041,登海种业,8.33,8.37,8.37,8.33,968,808962,0.48,0.48
2026-06-12 09:58:00,sz002041,登海种业,8.36,8.36,8.38,8.35,959,802706,-0.12,0.36
2026-06-12 09:59:00,sz002041,登海种业,8.35,8.34,8.36,8.34,879,733893,-0.24,0.24
2026-06-12 10:00:00,sz002041,登海种业,8.33,8.34,8.35,8.33,499,416074,0.0,0.24
2026-06-12 10:01:00,sz002041,登海种业,8.34,8.34,8.35,8.34,541,451555,0.0,0.12
2026-06-12 10:02:00,sz002041,登海种业,8.34,8.37,8.37,8.34,951,794931,0.36,0.36
2026-06-12 10:03:00,sz002041,登海种业,8.37,8.41,8.41,8.37,2443,2050080,0.48,0.48
2026-06-12 10:04:00,sz002041,登海种业,8.4,8.42,8.45,8.4,2991,2521471,0.12,0.59
2026-06-12 10:05:00,sz002041,登海种业,8.41,8.4,8.41,8.4,475,399377,-0.24,0.12
2026-06-12 10:06:00,sz002041,登海种业,8.4,8.41,8.41,8.4,399,335358,0.12,0.12
2026-06-12 10:07:00,sz002041,登海种业,8.41,8.42,8.43,8.4,1148,966244,0.12,0.36
2026-06-12 10:08:00,sz002041,登海种业,8.43,8.43,8.44,8.42,1194,1007328,0.12,0.24
2026-06-12 10:09:00,sz002041,登海种业,8.43,8.41,8.43,8.4,1989,1673886,-0.24,0.36
2026-06-12 10:10:00,sz002041,登海种业,8.41,8.41,8.42,8.41,606,510072,0.0,0.12
2026-06-12 10:11:00,sz002041,登海种业,8.42,8.41,8.42,8.41,317,266733,0.0,0.12
2026-06-12 10:12:00,sz002041,登海种业,8.41,8.42,8.43,8.41,1325,1116062,0.12,0.24
2026-06-12 10:13:00,sz002041,登海种业,8.41,8.42,8.42,8.41,385,323994,0.0,0.12
2026-06-12 10:14:00,sz002041,登海种业,8.41,8.43,8.43,8.41,886,746114,0.12,0.24
2026-06-12 10:15:00,sz002041,登海种业,8.43,8.44,8.45,8.43,1138,960285,0.12,0.24
2026-06-12 10:16:00,sz002041,登海种业,8.45,8.51,8.55,8.44,7249,6149902,0.83,1.3
2026-06-12 10:17:00,sz002041,登海种业,8.51,8.55,8.56,8.5,2550,2175734,0.47,0.71
2026-06-12 10:18:00,sz002041,登海种业,8.55,8.6,8.61,8.55,4176,3582858,0.58,0.7
2026-06-12 10:19:00,sz002041,登海种业,8.6,8.62,8.62,8.58,2822,2424772,0.23,0.47
2026-06-12 10:20:00,sz002041,登海种业,8.62,8.65,8.67,8.61,5606,4841753,0.35,0.7
2026-06-12 10:21:00,sz002041,登海种业,8.64,8.65,8.68,8.64,6915,5981388,0.0,0.46
2026-06-12 10:22:00,sz002041,登海种业,8.66,8.66,8.68,8.65,2835,2457706,0.12,0.35
2026-06-12 10:23:00,sz002041,登海种业,8.67,8.64,8.68,8.64,4331,3746833,-0.23,0.46
2026-06-12 10:24:00,sz002041,登海种业,8.63,8.68,8.68,8.63,2362,2041825,0.46,0.58
2026-06-12 10:25:00,sz002041,登海种业,8.67,8.69,8.7,8.66,4396,3817011,0.12,0.46
2026-06-12 10:26:00,sz002041,登海种业,8.69,8.66,8.71,8.66,3444,2991237,-0.35,0.58
2026-06-12 10:27:00,sz002041,登海种业,8.66,8.6,8.66,8.6,670,578463,-0.69,0.69
2026-06-12 10:28:00,sz002041,登海种业,8.6,8.57,8.6,8.57,569,488536,-0.35,0.35
2026-06-12 10:29:00,sz002041,登海种业,8.58,8.61,8.61,8.58,723,621097,0.47,0.35
2026-06-12 10:30:00,sz002041,登海种业,8.6,8.6,8.61,8.6,472,406244,-0.12,0.12
2026-06-12 10:31:00,sz002041,登海种业,8.6,8.63,8.63,8.6,979,842800,0.35,0.35
2026-06-12 10:32:00,sz002041,登海种业,8.62,8.63,8.63,8.6,792,682013,0.0,0.35
2026-06-12 10:33:00,sz002041,登海种业,8.62,8.62,8.64,8.62,816,704187,-0.12,0.23
2026-06-12 10:34:00,sz002041,登海种业,8.61,8.62,8.65,8.61,2536,2189713,0.0,0.46
2026-06-12 10:35:00,sz002041,登海种业,8.63,8.6,8.63,8.6,371,319411,-0.23,0.35
2026-06-12 10:36:00,sz002041,登海种业,8.6,8.61,8.62,8.6,525,452050,0.12,0.23
2026-06-12 10:37:00,sz002041,登海种业,8.6,8.61,8.61,8.6,521,448244,0.0,0.12
2026-06-12 10:38:00,sz002041,登海种业,8.61,8.63,8.63,8.61,348,299975,0.23,0.23
2026-06-12 10:39:00,sz002041,登海种业,8.63,8.61,8.64,8.61,868,748706,-0.23,0.35
2026-06-12 10:40:00,sz002041,登海种业,8.61,8.6,8.61,8.59,624,536905,-0.12,0.23
