datetime,code,name,open,close,high,low,volume,amount,pct_chg,amplitude
2026-06-03 09:30:00,sh603305,旭升集团,14.66,14.66,14.66,14.66,944,1383904,-0.68,0.0
2026-06-03 09:31:00,sh603305,旭升集团,14.6,14.6,14.65,14.59,6641,9705845,-0.41,0.41
2026-06-03 09:32:00,sh603305,旭升集团,14.61,14.75,14.8,14.61,5883,8631089,1.03,1.3
2026-06-03 09:33:00,sh603305,旭升集团,14.75,14.8,14.83,14.74,3129,4622839,0.34,0.61
2026-06-03 09:34:00,sh603305,旭升集团,14.81,14.85,14.9,14.81,4426,6579269,0.34,0.61
2026-06-03 09:35:00,sh603305,旭升集团,14.82,14.83,14.85,14.82,1737,2578124,-0.13,0.2
2026-06-03 09:36:00,sh603305,旭升集团,14.82,14.82,14.83,14.77,1490,2204939,-0.07,0.4
2026-06-03 09:37:00,sh603305,旭升集团,14.82,14.77,14.82,14.77,1891,2799395,-0.34,0.34
2026-06-03 09:38:00,sh603305,旭升集团,14.74,14.7,14.77,14.7,1139,1678598,-0.47,0.47
2026-06-03 09:39:00,sh603305,旭升集团,14.69,14.7,14.73,14.69,1771,2603133,0.0,0.27
2026-06-03 09:40:00,sh603305,旭升集团,14.7,14.72,14.72,14.7,1738,2554610,0.14,0.14
2026-06-03 09:41:00,sh603305,旭升集团,14.71,14.73,14.74,14.71,1078,1588148,0.07,0.2
2026-06-03 09:42:00,sh603305,旭升集团,14.73,14.8,14.82,14.73,1263,1868791,0.48,0.61
2026-06-03 09:43:00,sh603305,旭升集团,14.8,14.8,14.81,14.79,1645,2434501,0.0,0.14
2026-06-03 09:44:00,sh603305,旭升集团,14.8,14.81,14.82,14.79,1994,2951479,0.07,0.2
2026-06-03 09:45:00,sh603305,旭升集团,14.81,14.83,14.83,14.8,1763,2612860,0.14,0.2
2026-06-03 09:46:00,sh603305,旭升集团,14.82,14.83,14.84,14.8,819,1213580,0.0,0.27
2026-06-03 09:47:00,sh603305,旭升集团,14.82,14.84,14.84,14.82,1309,1941455,0.07,0.13
2026-06-03 09:48:00,sh603305,旭升集团,14.84,14.86,14.86,14.84,767,1138221,0.13,0.13
2026-06-03 09:49:00,sh603305,旭升集团,14.86,14.93,14.93,14.85,5343,7953456,0.47,0.54
2026-06-03 09:50:00,sh603305,旭升集团,14.92,14.9,14.92,14.88,1435,2137764,-0.2,0.27
2026-06-03 09:51:00,sh603305,旭升集团,14.91,14.93,14.93,14.9,2493,3718723,0.2,0.2
