datetime,code,name,open,close,high,low,volume,amount,pct_chg,amplitude
2026-06-17 09:30:00,sz300620,光库科技,379.1,379.1,379.1,379.1,2240,84918400,-3.41,0.0
2026-06-17 09:31:00,sz300620,光库科技,383.18,388.3,392.44,383.18,6741,260462304,2.43,2.44
2026-06-17 09:32:00,sz300620,光库科技,388.68,393.0,393.9,388.68,5086,199275824,1.21,1.34
2026-06-17 09:33:00,sz300620,光库科技,392.99,392.3,393.0,391.0,2745,107723832,-0.18,0.51
2026-06-17 09:34:00,sz300620,光库科技,392.35,392.67,395.6,391.19,3197,125789592,0.09,1.12
2026-06-17 09:35:00,sz300620,光库科技,393.0,395.8,396.66,392.92,2538,100012816,0.8,0.95
2026-06-17 09:36:00,sz300620,光库科技,395.83,393.8,397.09,393.8,2094,82780536,-0.51,0.83
2026-06-17 09:37:00,sz300620,光库科技,393.68,396.8,396.8,392.39,2049,80930976,0.76,1.12
2026-06-17 09:38:00,sz300620,光库科技,397.0,401.79,402.88,397.0,3360,134644576,1.26,1.48
2026-06-17 09:39:00,sz300620,光库科技,402.0,398.89,402.0,398.8,2431,97234368,-0.72,0.8
2026-06-17 09:40:00,sz300620,光库科技,398.89,400.03,400.2,398.89,1778,71082392,0.29,0.33
2026-06-17 09:41:00,sz300620,光库科技,400.68,404.62,404.98,399.86,2221,89244560,1.15,1.28
2026-06-17 09:42:00,sz300620,光库科技,404.8,401.59,404.8,400.04,2016,81080968,-0.75,1.18
2026-06-17 09:43:00,sz300620,光库科技,402.22,401.54,402.26,399.0,1501,60099072,-0.01,0.81
2026-06-17 09:44:00,sz300620,光库科技,401.57,399.33,401.7,399.16,1060,42398292,-0.55,0.63
2026-06-17 09:45:00,sz300620,光库科技,399.29,399.16,402.0,399.16,1350,54011264,-0.04,0.71
2026-06-17 09:46:00,sz300620,光库科技,399.03,396.0,399.98,396.0,1305,51956792,-0.79,1.0
2026-06-17 09:47:00,sz300620,光库科技,396.0,398.02,398.08,395.97,1464,58092488,0.51,0.53
2026-06-17 09:48:00,sz300620,光库科技,398.11,399.31,400.0,398.11,1265,50536752,0.32,0.47
2026-06-17 09:49:00,sz300620,光库科技,399.31,398.0,399.31,396.18,1632,64960616,-0.33,0.78
2026-06-17 09:50:00,sz300620,光库科技,397.83,396.68,398.0,396.68,1020,40525224,-0.33,0.33
2026-06-17 09:51:00,sz300620,光库科技,396.48,395.01,396.68,395.01,1083,42892476,-0.42,0.42
2026-06-17 09:52:00,sz300620,光库科技,395.0,396.99,397.0,395.0,1189,47056200,0.5,0.51
2026-06-17 09:53:00,sz300620,光库科技,396.05,396.72,396.98,395.66,1170,46352616,-0.07,0.33
2026-06-17 09:54:00,sz300620,光库科技,396.13,395.01,397.0,395.01,622,24648756,-0.43,0.5
2026-06-17 09:55:00,sz300620,光库科技,395.0,394.27,395.0,393.4,1526,60126100,-0.19,0.41
2026-06-17 09:56:00,sz300620,光库科技,395.01,393.49,395.01,392.98,1807,71156432,-0.2,0.51
2026-06-17 09:57:00,sz300620,光库科技,393.1,393.15,393.74,392.38,1580,62075160,-0.09,0.35
2026-06-17 09:58:00,sz300620,光库科技,393.03,392.99,393.12,392.01,1378,54072080,-0.04,0.28
2026-06-17 09:59:00,sz300620,光库科技,393.0,394.69,394.69,392.99,979,38548312,0.43,0.43
2026-06-17 10:00:00,sz300620,光库科技,394.95,391.98,394.95,391.98,757,29748704,-0.69,0.75
2026-06-17 10:01:00,sz300620,光库科技,392.57,393.17,393.37,392.01,1283,50357092,0.3,0.35
2026-06-17 10:02:00,sz300620,光库科技,393.01,392.83,393.84,392.49,918,36081668,-0.09,0.34
2026-06-17 10:03:00,sz300620,光库科技,392.81,393.32,393.99,392.2,758,29792888,0.12,0.46
2026-06-17 10:04:00,sz300620,光库科技,393.83,395.54,396.56,393.76,920,36379856,0.56,0.71
2026-06-17 10:05:00,sz300620,光库科技,395.0,395.3,395.96,394.07,660,26104106,-0.06,0.48
2026-06-17 10:06:00,sz300620,光库科技,395.3,394.09,395.56,394.09,624,24656216,-0.31,0.37
2026-06-17 10:07:00,sz300620,光库科技,394.1,395.0,395.5,393.99,590,23310464,0.23,0.38
2026-06-17 10:08:00,sz300620,光库科技,395.48,395.47,396.18,394.51,673,26609828,0.12,0.42
2026-06-17 10:09:00,sz300620,光库科技,395.52,393.96,395.52,393.8,477,18836102,-0.38,0.43
2026-06-17 10:10:00,sz300620,光库科技,394.0,394.45,394.53,393.83,613,24157286,0.12,0.18
2026-06-17 10:11:00,sz300620,光库科技,394.01,392.68,394.01,392.68,534,21014452,-0.45,0.34
2026-06-17 10:12:00,sz300620,光库科技,393.33,393.02,394.49,392.99,509,20033488,0.09,0.38
2026-06-17 10:13:00,sz300620,光库科技,393.0,392.15,393.02,392.0,907,35600592,-0.22,0.26
2026-06-17 10:14:00,sz300620,光库科技,392.56,392.26,393.63,392.1,552,21669710,0.03,0.39
2026-06-17 10:15:00,sz300620,光库科技,392.26,392.49,392.53,391.87,721,28260550,0.06,0.17
2026-06-17 10:16:00,sz300620,光库科技,393.13,392.93,393.49,392.93,627,24638990,0.11,0.14
2026-06-17 10:17:00,sz300620,光库科技,392.83,392.5,392.93,392.46,404,15864656,-0.11,0.12
2026-06-17 10:18:00,sz300620,光库科技,392.9,392.46,393.82,392.46,1318,51833288,-0.01,0.35
2026-06-17 10:19:00,sz300620,光库科技,392.35,392.69,393.0,392.26,549,21546070,0.06,0.19
2026-06-17 10:20:00,sz300620,光库科技,392.66,391.01,392.66,391.0,923,36137216,-0.43,0.42
2026-06-17 10:21:00,sz300620,光库科技,391.0,390.39,391.01,390.0,1736,67758504,-0.16,0.26
2026-06-17 10:22:00,sz300620,光库科技,390.4,390.9,391.79,390.4,1203,47032748,0.13,0.36
2026-06-17 10:23:00,sz300620,光库科技,390.99,389.81,391.0,389.81,742,28977768,-0.28,0.3
2026-06-17 10:24:00,sz300620,光库科技,389.88,389.14,390.49,389.14,1033,40273416,-0.17,0.35
2026-06-17 10:25:00,sz300620,光库科技,389.09,389.1,390.67,389.04,1161,45248456,-0.01,0.42
2026-06-17 10:26:00,sz300620,光库科技,389.11,389.39,389.68,388.92,1109,43170656,0.07,0.2
2026-06-17 10:27:00,sz300620,光库科技,389.67,389.99,390.2,388.9,1068,41575224,0.15,0.33
2026-06-17 10:28:00,sz300620,光库科技,389.98,390.0,390.02,389.97,500,19481568,0.0,0.01
2026-06-17 10:29:00,sz300620,光库科技,390.01,390.0,390.77,390.0,560,21853272,0.0,0.2
2026-06-17 10:30:00,sz300620,光库科技,390.0,389.5,390.17,388.8,666,25934478,-0.13,0.35
2026-06-17 10:31:00,sz300620,光库科技,389.17,389.7,389.98,389.17,573,22316282,0.05,0.21
