datetime,code,name,open,close,high,low,volume,amount,pct_chg,amplitude
2026-06-25 09:30:00,sz000767,晋控电力,4.09,4.09,4.09,4.09,3102,1268718,-1.45,0.0
2026-06-25 09:31:00,sz000767,晋控电力,4.08,4.03,4.08,4.03,24881,10082319,-1.47,1.22
2026-06-25 09:32:00,sz000767,晋控电力,4.03,4.07,4.07,4.03,28959,11704082,0.99,0.99
2026-06-25 09:33:00,sz000767,晋控电力,4.07,4.02,4.07,4.01,26558,10717673,-1.23,1.47
2026-06-25 09:34:00,sz000767,晋控电力,4.02,4.02,4.02,4.0,28964,11619754,0.0,0.5
2026-06-25 09:35:00,sz000767,晋控电力,4.02,4.02,4.03,4.01,20134,8084653,0.0,0.5
2026-06-25 09:36:00,sz000767,晋控电力,4.02,4.03,4.03,4.01,20927,8414350,0.25,0.5
2026-06-25 09:37:00,sz000767,晋控电力,4.03,4.05,4.05,4.03,16609,6700210,0.5,0.5
2026-06-25 09:38:00,sz000767,晋控电力,4.04,4.05,4.06,4.04,14121,5716885,0.0,0.49
2026-06-25 09:39:00,sz000767,晋控电力,4.06,4.08,4.09,4.06,11205,4559824,0.74,0.74
2026-06-25 09:40:00,sz000767,晋控电力,4.08,4.1,4.1,4.07,14122,5769854,0.49,0.74
2026-06-25 09:41:00,sz000767,晋控电力,4.09,4.09,4.1,4.08,19749,8087214,-0.24,0.49
2026-06-25 09:42:00,sz000767,晋控电力,4.09,4.09,4.1,4.09,5274,2159982,0.0,0.24
2026-06-25 09:43:00,sz000767,晋控电力,4.1,4.1,4.11,4.1,11697,4795587,0.24,0.24
2026-06-25 09:44:00,sz000767,晋控电力,4.1,4.11,4.11,4.1,7354,3016170,0.24,0.24
2026-06-25 09:45:00,sz000767,晋控电力,4.11,4.1,4.12,4.1,10216,4198879,-0.24,0.49
2026-06-25 09:46:00,sz000767,晋控电力,4.11,4.09,4.11,4.09,11885,4870563,-0.24,0.49
2026-06-25 09:47:00,sz000767,晋控电力,4.09,4.1,4.11,4.09,10658,4368976,0.24,0.49
2026-06-25 09:48:00,sz000767,晋控电力,4.1,4.1,4.11,4.09,6002,2460910,0.0,0.49
2026-06-25 09:49:00,sz000767,晋控电力,4.09,4.1,4.1,4.09,16881,6914318,0.0,0.24
2026-06-25 09:50:00,sz000767,晋控电力,4.1,4.11,4.11,4.09,18204,7470335,0.24,0.49
2026-06-25 09:51:00,sz000767,晋控电力,4.12,4.1,4.12,4.09,7931,3257110,-0.24,0.73
2026-06-25 09:52:00,sz000767,晋控电力,4.09,4.09,4.1,4.08,7100,2904973,-0.24,0.49
2026-06-25 09:53:00,sz000767,晋控电力,4.09,4.08,4.09,4.07,7692,3139495,-0.24,0.49
2026-06-25 09:54:00,sz000767,晋控电力,4.08,4.05,4.08,4.05,8309,3377187,-0.74,0.74
2026-06-25 09:55:00,sz000767,晋控电力,4.05,4.05,4.06,4.05,9099,3686475,0.0,0.25
2026-06-25 09:56:00,sz000767,晋控电力,4.05,4.06,4.07,4.05,9757,3959425,0.25,0.49
2026-06-25 09:57:00,sz000767,晋控电力,4.06,4.07,4.08,4.06,15187,6172276,0.25,0.49
2026-06-25 09:58:00,sz000767,晋控电力,4.07,4.07,4.09,4.07,6433,2622358,0.0,0.49
2026-06-25 09:59:00,sz000767,晋控电力,4.07,4.07,4.08,4.06,8970,3646213,0.0,0.49
